RANK,PATTERN,COUNT,SEQUENCES
1,"[property, existence]",30,"[[43065, 43130], [42535, 42537], [42155, 42157], [42155, 42163], [41137, 41140], [41140, 41210], [39482, 39489], [39499, 39503], [36614, 36636], [36636, 36638], [34078, 34083], [34098, 34099], [34109, 34144], [34165, 34168], [33668, 33691], [32496, 32497], [29579, 29580], [28314, 28331], [25084, 25085], [23474, 23476], [18920, 18924], [18601, 18607], [18601, 18608], [18601, 18647], [18627, 18629], [17569, 17690], [12787, 12805], [4371, 4405], [305, 306], [305, 307]]"
2,"[existence, property]",30,"[[41702, 41704], [41109, 41137], [41109, 41112], [41140, 41210], [39466, 39482], [39482, 39489], [39489, 39494], [39503, 39725], [36614, 36636], [34093, 34095], [34095, 34098], [34103, 34109], [34160, 34165], [33668, 33724], [32829, 32832], [32832, 32951], [32579, 32605], [32579, 33508], [32684, 32687], [28985, 28986], [28314, 28331], [28331, 28353], [25083, 25084], [23384, 23395], [18938, 18951], [18608, 18627], [18608, 18630], [16867, 16931], [12779, 12787], [4370, 4371]]"
3,"[existence, process]",29,"[[42537, 42540], [42146, 42149], [41704, 41709], [40249, 40254], [38807, 38813], [38872, 38874], [36614, 36632], [36614, 36633], [36614, 36636], [36634, 36635], [36636, 36638], [36638, 36639], [34168, 34186], [33668, 33707], [32829, 32832], [32341, 32359], [32380, 32470], [30953, 30969], [30953, 30956], [23384, 23415], [23384, 23414], [23433, 23469], [23433, 23471], [23476, 23477], [17585, 17596], [17597, 17600], [17614, 17616], [12805, 12810], [9334, 9363]]"
4,"[technology, existence]",28,"[[42426, 42440], [42283, 42289], [40231, 40249], [40093, 40099], [39030, 39032], [38943, 39038], [39025, 39027], [39027, 39028], [36636, 36638], [34101, 34103], [34147, 34149], [32792, 32817], [32739, 32744], [30948, 30951], [26365, 26367], [23384, 23443], [23403, 23433], [23474, 23476], [20489, 20498], [20232, 20233], [18916, 18938], [17585, 17597], [17569, 17690], [16488, 16497], [4367, 4370], [3479, 3485], [2735, 2737], [2742, 2746]]"
5,"[existence, technology]",27,"[[43623, 43646], [42379, 42426], [41734, 41833], [40099, 40118], [36614, 36636], [34078, 34082], [34100, 34101], [33186, 33204], [32769, 32792], [32684, 32739], [30935, 30937], [29580, 29582], [25085, 25086], [23384, 23386], [20498, 20499], [20229, 20232], [18812, 18876], [18938, 18983], [17618, 17623], [17569, 17690], [16867, 16938], [16488, 16497], [8131, 8135], [3567, 3575], [3478, 3479], [2735, 2736], [2746, 2751]]"
6,"[process, technology]",21,"[[42876, 42902], [41107, 41207], [40787, 40801], [40008, 40151], [40190, 40231], [39720, 39722], [39721, 39724], [36614, 36636], [36508, 36528], [36538, 36541], [36538, 36544], [36538, 36551], [30935, 30937], [30969, 30981], [23469, 23474], [23471, 23496], [23165, 23166], [23168, 23172], [23213, 23230], [23259, 23261], [17569, 17690]]"
7,"[process, existence]",19,"[[42149, 42150], [41724, 41734], [41107, 41108], [42170, 42249], [38825, 38851], [38865, 38872], [36614, 36636], [36633, 36634], [36636, 36638], [33246, 33249], [32364, 32380], [30934, 30935], [31048, 31050], [23469, 23474], [23471, 23496], [17585, 17597], [17600, 17618], [17600, 17614], [17569, 17690]]"
8,"[property, technology]",18,"[[42155, 42277], [42278, 42279], [42282, 42283], [40787, 40801], [39720, 39722], [36614, 36636], [34078, 34082], [34109, 34145], [33576, 33599], [28986, 29006], [23395, 23399], [23395, 23403], [18904, 18916], [17569, 17690], [16867, 16938], [14751, 14752], [14751, 14770], [14751, 14795]]"
9,"[property, process]",16,"[[42535, 42538], [42537, 42540], [42551, 42553], [42551, 42554], [41704, 41709], [40787, 40788], [40787, 40801], [40788, 40791], [39720, 39721], [36614, 36632], [36614, 36633], [36614, 36636], [36636, 36638], [33668, 33707], [33236, 33246], [29302, 29306]]"
10,"[technology, process]",16,"[[43579, 43580], [42902, 42916], [40801, 40802], [40151, 40165], [39719, 39720], [40118, 42170], [36636, 36638], [36528, 36538], [30981, 31048], [23384, 23415], [23384, 23414], [23167, 23168], [23172, 23173], [23230, 23244], [23244, 23248], [17585, 17596]]"
11,"[technology, property]",11,"[[42277, 42278], [42278, 42282], [39719, 39720], [38943, 39038], [33204, 33236], [28985, 28986], [23384, 23395], [18884, 18904], [18916, 18920], [18938, 18951], [2742, 2750]]"
12,"[process, property]",9,"[[42540, 42551], [40786, 40787], [40787, 40788], [36614, 36636], [34186, 34253], [32832, 32951], [24974, 24982], [23469, 23474], [23471, 23496]]"
