N,NDCG,PRECISION
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.012317035624257693,0.25
5,0.05429462442581205,0.4
6,0.04866061248904943,0.3333333333333333
7,0.04496598669943137,0.2857142857142857
8,0.041951504690014074,0.25
9,0.03953721166434554,0.2222222222222222
10,0.04256029960886988,0.3
11,0.04069500491942209,0.2727272727272727
12,0.03903749548993187,0.25
13,0.04164275389382407,0.3076923076923077
14,0.04022575089342643,0.2857142857142857
15,0.039001527650752384,0.26666666666666666
16,0.03787355465465363,0.25
17,0.036829464355776984,0.23529411764705882
18,0.03740897599249674,0.2777777777777778
19,0.03651886423141205,0.2631578947368421
20,0.04426234425027582,0.3
21,0.04334666600241159,0.2857142857142857
22,0.04248031246227969,0.2727272727272727
23,0.042948019731892086,0.30434782608695654
24,0.043392381904063464,0.3333333333333333
25,0.04265549771900175,0.32
26,0.04195124450812957,0.3076923076923077
27,0.04132461333413038,0.2962962962962963
28,0.04189008288871686,0.32142857142857145
29,0.04133917246052197,0.3103448275862069
30,0.04080762233112949,0.3
31,0.04239095407492228,0.3225806451612903
32,0.04910354849556058,0.34375
33,0.04855941539418707,0.3333333333333333
34,0.048079018967575576,0.3235294117647059
35,0.04761170104613471,0.3142857142857143
36,0.04715682456763068,0.3055555555555556
37,0.046757726153906325,0.2972972972972973
38,0.047293994804538705,0.3157894736842105
39,0.04690580276317469,0.3076923076923077
40,0.04832368176897287,0.325
41,0.04882418218648007,0.34146341463414637
42,0.048440462139407815,0.3333333333333333
43,0.048926217893221914,0.3488372093023256
44,0.048593399712248755,0.3409090909090909
45,0.04826695101109389,0.3333333333333333
46,0.04794664638722803,0.32608695652173914
47,0.047632272617990884,0.3191489361702128
48,0.04732362776464515,0.3125
49,0.047020520359728486,0.30612244897959184
50,0.046759781242488085,0.3
51,0.04650317818540193,0.29411764705882354
52,0.04625058711994648,0.28846153846153844
53,0.046001889767178734,0.2830188679245283
54,0.04575697326527929,0.2777777777777778
55,0.046303787455013116,0.2909090909090909
56,0.04609622985309898,0.2857142857142857
57,0.04663198297417401,0.2982456140350877
58,0.049363461990741056,0.3103448275862069
59,0.0491478366194499,0.3050847457627119
60,0.05037884518203759,0.31666666666666665
61,0.050162412361756725,0.3114754098360656
62,0.050658869369856044,0.3225806451612903
63,0.05118531889424568,0.3333333333333333
64,0.051006182389427106,0.328125
65,0.050828941365845384,0.3230769230769231
66,0.0506535551954852,0.3181818181818182
67,0.051165308810940474,0.3283582089552239
68,0.05102591393288371,0.3235294117647059
69,0.05562643501847818,0.3333333333333333
70,0.056149600868927355,0.34285714285714286
71,0.05599936878478791,0.3380281690140845
72,0.055850417590903284,0.3333333333333333
73,0.05900828990280931,0.3424657534246575
74,0.06082511431776803,0.35135135135135137
75,0.06066609281520797,0.3466666666666667
